system:index,COUNTY_NAM,mean
201507_0000000000000000002f,Solano,22.681836622435696
201507_00000000000000000030,Sonoma,19.64579906905003
201507_00000000000000000031,Stanislaus,24.963248873528716
201507_00000000000000000032,Sutter,27.407957568512465
201507_00000000000000000033,Tehama,25.556846880436954
201507_00000000000000000034,Trinity,20.937796162478357
201507_00000000000000000035,Tulare,22.61045023201855
201507_00000000000000000036,Tuolumne,18.075281974980033
201507_00000000000000000037,Ventura,21.52911717064857
201507_0000000000000000003f,Ventura,17.957395967991253
201507_00000000000000000040,Ventura,20.212091064453148
201507_00000000000000000041,Ventura,20.212091064453148
201507_00000000000000000042,Ventura,
201507_00000000000000000038,Yolo,25.86541401924345
201507_00000000000000000039,Yuba,25.85367970720299
201508_00000000000000000000,Alameda,20.592715887684665
201508_00000000000000000001,Alpine,16.353650101371453
201508_00000000000000000002,Amador,22.04701628074621
201508_00000000000000000003,Butte,24.62210971967406
201508_00000000000000000004,Calaveras,22.691133321763196
201508_00000000000000000005,Colusa,25.493232461813104
201508_00000000000000000006,Contra Costa,21.21429151320302
201508_00000000000000000007,Del Norte,17.894908653784388
201508_00000000000000000008,El Dorado,20.830714827495314
201508_00000000000000000009,Fresno,23.73237752409733
201508_0000000000000000000a,Glenn,24.923372496360287
201508_0000000000000000000b,Humboldt,17.512552228404903
201508_0000000000000000000c,Imperial,35.366042427879165
201508_0000000000000000000d,Inyo,27.920077084671757
201508_0000000000000000000e,Kern,26.961582862769347
201508_0000000000000000000f,Kings,29.28349809353218
201508_00000000000000000010,Lake,22.365890284707202
201508_00000000000000000011,Lassen,20.489424525061235
201508_00000000000000000012,Los Angeles,25.538140987509195
201508_00000000000000000043,Los Angeles,19.785024293711512
201508_00000000000000000044,Los Angeles,20.265578644851182
201508_00000000000000000013,Madera,23.489805166350145
201508_00000000000000000014,Marin,18.369645716780347
201508_00000000000000000015,Mariposa,22.668088483099048
201508_00000000000000000016,Mendocino,19.684570284266318
201508_00000000000000000017,Merced,25.932655392385378
201508_00000000000000000018,Modoc,20.822623893238386
201508_00000000000000000019,Mono,18.131442598642135
201508_0000000000000000001a,Monterey,21.083651512095688
201508_0000000000000000001b,Napa,22.81152486502577
201508_0000000000000000001c,Nevada,20.713114313791987
201508_0000000000000000001d,Orange,23.836599427277516
201508_0000000000000000001e,Placer,21.014449361214936
201508_0000000000000000001f,Plumas,19.59936307835671
201508_00000000000000000020,Riverside,31.121333715688593
201508_00000000000000000021,Sacramento,24.16133834077507
201508_00000000000000000022,San Benito,22.083543220408757
201508_00000000000000000023,San Bernardino,31.335827124191567
201508_00000000000000000024,San Diego,25.664501380032327
201508_00000000000000000025,San Francisco,18.152611907208215
201508_00000000000000000026,San Joaquin,23.436706241646384
201508_00000000000000000027,San Luis Obispo,22.788866750126445
201508_00000000000000000028,San Mateo,18.51175737403939
201508_00000000000000000029,Santa Barbara,21.759799742749088
201508_0000000000000000003a,Santa Barbara,
201508_0000000000000000003b,Santa Barbara,19.572625732421898
201508_0000000000000000003c,Santa Barbara,18.055557177372034
201508_0000000000000000003d,Santa Barbara,17.844720458984398
201508_0000000000000000003e,Santa Barbara,19.64205277533021
201508_0000000000000000002a,Santa Clara,21.23795119948733
201508_0000000000000000002b,Santa Cruz,19.22177489081994
201508_0000000000000000002c,Shasta,22.433692688580336
201508_0000000000000000002d,Sierra,18.701803649600976
201508_0000000000000000002e,Siskiyou,19.865293579345007
201508_0000000000000000002f,Solano,22.564707411858592
201508_00000000000000000030,Sonoma,19.604893584230926
201508_00000000000000000031,Stanislaus,24.58564704868829
201508_00000000000000000032,Sutter,25.981403466549633
201508_00000000000000000033,Tehama,24.494761527081906
