"","cougar_clean.id","cougar_clean.observed_on","cougar_clean.latitude","cougar_clean.longitude"
"142",144970306,"2022-12-19",34.1450956069,-118.9650199261
"143",145244708,"2022-12-26",34.3294530076,-118.537998941
"144",145283915,"2022-12-23",34.0817528644,-118.6282806471
"145",145411663,"2022-12-30",34.1163466409,-118.7718817592
"146",146004292,"2023-01-06",34.1056030286,-118.73961994
"147",146386783,"2023-01-11",34.2173729898,-118.1501732022
"148",146425765,"2023-01-08",34.275416597,-118.042090546
"149",146879975,"2022-06-27",34.6216805412,-118.40849838
"150",147630509,"2023-01-26",34.1662765,-117.908577375
"151",148159211,"2023-02-02",34.5028899216,-118.42353791
"152",149095162,"2023-02-18",34.2383033333,-118.2984383333
"153",149104538,"2023-02-18",34.239495,-118.2979283333
"154",149108648,"2023-02-18",34.2383916667,-118.29653
"155",150709808,"2022-10-30",34.0153572719,-118.7908534703
"156",150735489,"2023-02-26",34.73064,-118.5675786
"157",151252884,"2023-03-15",34.175555,-118.0194445
"158",154918912,"2022-12-21",34.1306571719,-118.3573473634
"159",155562509,"2023-04-18",34.1358111667,-118.6997966667
"160",156695043,"2021-10-23",34.1394673145,-118.6149969107
"161",159543444,"2022-12-01",34.2928005405,-117.9776192096
"162",159543446,"2022-12-11",34.2481757155,-117.8627104533
"163",159543451,"2022-12-24",34.3959072669,-117.913006369
"164",159543458,"2023-01-23",34.3451255773,-117.9184939665
"165",159543463,"2023-02-12",34.3006526313,-117.9680279796
"166",159543465,"2023-01-30",34.2739466446,-117.8405664341
"167",159543470,"2023-02-15",34.3266993254,-117.8165944465
"168",159543471,"2023-03-18",34.2069946017,-117.9478008746
"169",159543476,"2023-03-24",34.394598653,-117.8764557286
"170",159543477,"2023-03-26",34.2059166381,-117.8503570594
"171",159543480,"2023-04-03",34.3862168941,-117.941014072
"172",159543488,"2023-04-05",34.3334119222,-117.8464952732
"173",159543498,"2023-04-17",34.3098525214,-117.9885419631
"174",160523814,"2023-05-01",34.4137883333,-117.85823
"175",161354250,"2023-05-12",34.2394333333,-118.2900783333
"176",161716214,"2023-05-12",34.2437854052,-118.3036784583
"177",163258187,"2020-04-22",34.4252444444,-118.6229694444
"178",165096377,"2023-05-31",34.553221,-118.4450939722
"179",166930461,"2023-05-22",34.0609873011,-118.8511600949
"180",166931165,"2023-05-27",34.1574427628,-118.8878481795
"181",167475370,"2023-06-14",34.241475,-118.2955466667
"182",170064018,"2023-06-25",34.2339596501,-117.8643332049
"183",173959298,"2023-07-16",34.2557615925,-117.7583842725
"184",174523106,"2023-07-07",34.0381511846,-118.7466431782
"185",174727522,"2023-07-24",34.1255576335,-118.7710559411
"186",174952959,"2021-11-29",34.1183945245,-118.6930099039
"187",174955141,"2020-11-03",34.3229677405,-118.3913221136
"188",174957285,"2021-06-24",34.0041978366,-118.7207675601
"189",174958655,"2021-10-07",34.0645531736,-118.6435096015
"190",174959815,"2022-03-16",34.1067213024,-118.6396374758
"191",174961093,"2022-03-29",34.0880818744,-118.7265782178
"192",174964089,"2020-12-15",34.1990086689,-118.1940807725
"193",175104975,"2023-06-11",34.345845,-118.5265416667
"194",175106383,"2023-06-11",34.3460633333,-118.527755
"195",175388925,"2023-07-27",34.1945677,-118.1102393
"196",175660727,"2023-07-29",34.1340806939,-118.9049336152
"197",175663523,"2023-07-29",34.0929568562,-118.6225398483
"198",175800271,"2022-12-14",34.3415156647,-118.2552111498
"199",175801020,"2018-07-03",34.3696478343,-118.2874962673
"200",175801294,"2015-10-24",34.3870515278,-118.3970364719
"201",175801767,"2015-03-22",34.2289730573,-118.270782215
"202",175802644,"2018-12-15",34.141148711,-118.2260414789
"203",175803512,"2017-02-16",34.1816015112,-118.2409935928
"204",175803920,"2018-09-06",34.3114128202,-118.2168499877
"205",175804528,"2012-09-09",34.2245398846,-118.2665658281
"206",175805272,"2010-11-28",34.2105448865,-118.2737263631
